### LC--->noradrenaline DR--->serotonin VLPO--->GABA WR--->acetylcholin R--->acetylcholin SCN--->GABA 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
1906	0	0.07795120706909595	0.01936324828634234	-0.0012115764465794813	0.002760482626993143	4.939340508678549	0.8456015445697723	0.012003902754554006	0.005621829428736475	0.08250945406642006	0.02496309366372826	3.357430206239536	0.6852774874417974	0.2520511526238075
1908	0	0.08787489617622973	0.01921797163592358	-0.008187927113359675	0.0024309776445427304	4.938905767140339	0.845217485607624	0.018706605947136957	0.005362206213370533	0.08579935877274182	0.025598459560211045	3.364105893966616	0.6853819722968924	0.24954307697159836
1910	0	0.06322475030188786	0.018974870928502162	-0.0022977867842920215	0.002134822320062868	4.924310849686458	0.8448296432714287	0.010522028488935187	0.005257195530101854	0.07713296150211665	0.02593660890745137	3.354473547075577	0.6854098481676204	0.24705995833074088
1912	0	0.06581660126456225	0.018584616776689947	-0.009606742753643056	0.0018908530061293952	4.895953970877166	0.8443350254807569	0.02271037265820463	0.0052846789807255825	0.08015296354479505	0.0263266515787089	3.3600076315449137	0.6854341675613437	0.24460154836246756
1914	0	0.06654991913224052	0.018132504923329913	-0.017043624757346568	0.0015041311181694045	4.882629140355027	0.8436438504723225	0.007270459771207136	0.005265558032743087	0.08408582506405839	0.026730705595522503	3.3477282187037463	0.6854340187214889	0.24216760119914632
1916	0	0.06139964052345158	0.017730963933018103	-0.009820338027706944	0.0011669112998930545	4.882884766654104	0.8429349157544362	0.016403206829476807	0.005050252312093338	0.08782780563578613	0.02705556738303683	3.350896785106829	0.6853202823793496	0.23975787341969054
1918	0	0.04866496508536241	0.017242754667896407	-0.012041433615080022	0.0009976032418782543	4.88499423642487	0.8423838253703397	0.00822157914142714	0.005045114466904266	0.10114191942458922	0.02774708176045118	3.3586697422034635	0.6853882341018843	0.23737212402521388
1920	0	0.0701416517630393	0.01677461087014827	-0.01711253139187985	0.0007319463233588987	4.868973157173092	0.8418223301275791	0.006836175372460967	0.004522267754712127	0.09631878514203192	0.028652073976369437	3.3573205231042293	0.6854565398702692	0.23501011441492906
1922	0	0.042161081385958414	0.016326201567903896	-0.01651820745755923	0.00042938424475667933	4.851290667343775	0.8411894736221307	0.010406058789159837	0.004281641542500865	0.09614293820771495	0.029362728811763602	3.3559920415382427	0.6854060012137555	0.23267160836228393
1924	0	0.03224403963033765	0.015661467959761213	-0.010666136966435001	0.0002133846271760408	4.831950070637657	0.8403541938779641	0.016385125904355098	0.004309033465369387	0.108254141102881	0.030128128651121765	3.3545039136328656	0.6853714107040098	0.2303563719913368
1926	0	0.02253461836242983	0.014898447072471368	-0.03498550835762016	-0.00018657705912014733	4.810009457626287	0.8393986628438086	0.013317732715463932	0.0045763536661315	0.11212752259914026	0.03106460768447105	3.355393534457645	0.6853251352204572	0.22806417375336632
1928	0	0.04775136433112473	0.014249645815052017	-0.03441056565679913	-0.0007236378519341416	4.797344985241713	0.8384145707637872	0.012733664269793325	0.004549682070894018	0.115896738051334	0.03220772030072186	3.3624318277122045	0.6854186656380992	0.22579478440371414
1930	0	0.04575796174436451	0.013881536753488967	-0.024417966193644065	-0.0010151973957506892	4.768070915464941	0.8373406146787324	0.00582512746104419	0.004595797743082784	0.11491313710614588	0.03337979737077996	3.3561125280350983	0.6855562690268489	0.2235479769788579
1932	0	0.05175602172301225	0.013641948142363358	-0.009403709772216818	-0.0011820443086664524	4.746410707597038	0.8360729821659536	0.017572524688019817	0.004305475359626527	0.11521393294488165	0.03403384530641144	3.3543551797202946	0.6854976226156609	0.22132352677371225
1934	0	0.04273039482576628	0.013407771567498065	-0.027568434015118656	-0.0013783900587262994	4.70547520117043	0.8345897945942697	0.0199344659416938	0.004753867254379095	0.12022945867537639	0.034971435288049614	3.3572311838991244	0.6855088527706646	0.21912121131915588
1936	0	0.04838615125539973	0.013050124288432649	-0.030070511736099894	-0.0017425961372555805	4.661620826447334	0.8327564458519755	0.011781942584460565	0.004830833209919867	0.12649533647834943	0.03595198338605256	3.369776819458024	0.6856142109377229	0.21694081035978238
1938	0	0.04115702641418518	0.012818002345543053	-0.018024128416317908	-0.0019281316445627847	4.621521043589246	0.8305715185985375	0.00706395856248751	0.004557580987918146	0.12686165223311277	0.037224138657146515	3.360101597631336	0.6856869742597037	0.2147821058318727
1940	0	0.050462623619124604	0.012578566880359963	-0.031540399784510086	-0.0021549079992805855	4.563477535368504	0.8282203605315073	0.0015793072032338753	0.003998912004974365	0.14055009252587022	0.03831049042566165	3.359270628781731	0.6857283814240231	0.2126448818415858
1942	0	0.047943001310313905	0.01245950819229923	-0.03543144164247543	-0.0025823298347942758	4.515519055895649	0.8253690818224091	0.010143252434899877	0.0035999695949909065	0.13858369359995062	0.039779518309855405	3.359934347280359	0.6857807543272009	0.2105289246433666
1944	0	0.053300764003249596	0.01226263029787398	-0.03934902796831087	-0.002915663564768974	4.464709664646776	0.822312912852451	0.030686520379518543	0.004609926634006379	0.14186621163757648	0.040893223694058796	3.3601980546251875	0.6858827124238981	0.20843402261857044
1946	0	0.04860158342714166	0.01212015683900081	-0.030302401834563186	-0.003258378092678868	4.411749112696407	0.8189031950814353	0.019299419136634813	0.005283894837373209	0.14829818075413678	0.04248731414351578	3.372144494231958	0.6859252088433087	0.206359966254298
1948	0	0.03353065213234356	0.011795422828695216	-0.029003625309639132	-0.0034550849891618607	4.347076194093149	0.8152217476837832	0.013563177050084231	0.005243887725336801	0.17082510158962927	0.04473555423443529	3.36548604565845	0.6860000004475117	0.20430654812244137
1950	0	0.030850625880863524	0.011426613995109202	-0.031170512630964854	-0.003577697711782127	4.2908028595946055	0.8112117188585157	0.016585574208975138	0.004937723504187102	0.17404633339947134	0.04691588331892006	3.3607735555737572	0.6860500479293712	0.20227356285893983
1952	0	0.042116443915706916	0.011115263633373437	-0.025921765371753048	-0.003723675194378391	4.219155366198092	0.806783302892162	0.012631805464378962	0.004804638708835494	0.17992207426239748	0.04903496925989611	3.3591484571748063	0.6861233286473616	0.200260807143241
1954	0	0.03131332984538372	0.010819900017823281	-0.01797731805967704	-0.0037024863312088464	4.122574458078283	0.8017139540076377	0.01697969514138467	0.004801536071414779	0.19687611713023834	0.051470544826219176	3.368908923534863	0.6860635247075166	0.19826807967796584
1956	0	0.015970425954818932	0.010331732044431085	-0.02844438672315255	-0.003627390766591104	4.041989214551237	0.7959231642839825	0.004375337098152107	0.004640463236015609	0.19478134202254413	0.05377774445384265	3.372871429550973	0.6862255218688	0.1962951811687781
1958	0	0.01108642124982108	0.009746491629966682	-0.02429659551630456	-0.0036963610687426414	3.984587162296628	0.7899878444682819	-0.008746089914107295	0.0033545942252152573	0.21379649283917676	0.056648656082717366	3.368236289168218	0.6863492484448918	0.1943419143044514
1960	0	0.010886509851389383	0.009130997172418836	-0.01800868747456523	-0.0037623183884516044	3.9023997265537598	0.7837356700624604	-0.0002699342607065912	0.00244849055827227	0.2137533853189578	0.05951199045692861	3.368727155264847	0.686422292550453	0.19240808373713703
1962	0	0.02092294222827339	0.008677665412164998	-0.017643231396419025	-0.0037119829145445	3.810260028553253	0.7768914606343651	-0.007889809299603	0.0016785148107866326	0.24393643153436853	0.06281134045039073	3.375489836028417	0.6865694148090917	0.1904934960628265
1964	0	0.009907392080072184	0.008383072800563834	-0.018829462546772768	-0.003681999714933921	3.7042225828039865	0.7692314692342902	-0.013688268585508919	0.0009645446636896181	0.2558813271077164	0.0663220734142936	3.37272807148986	0.6867440514510169	0.18859795980200852
1966	0	0.023233858961506478	0.007912073269936617	-0.012605699390355397	-0.0035979965264230623	3.6230423855843603	0.7608724127662567	-0.011190732308326368	9.133105730703374e-05	0.27377082062419195	0.07036271939077214	3.3802503661178402	0.6869137156850318	0.18672128538052027
1968	0	0.03244275801968265	0.00771549027597504	-0.015237978616097457	-0.0034848835261932494	3.512951008900502	0.7520316640120079	-0.004039245513204307	-0.0003684810105090297	0.30374071361121824	0.07479564631498402	3.3774012632789745	0.6872139836782639	0.1848632851105869
1970	0	0.025894181798776558	0.007523762862325352	-0.01086388345388255	-0.0034224702186819883	3.4104182869425386	0.7423770585733661	-0.013524293612327282	-0.000753635385303831	0.3120026920471601	0.07980384074690074	3.379542371537912	0.6874517165219513	0.18302377317205085
1972	0	0.030535705392382647	0.007417622391092134	-0.022093594182838027	-0.0033646206361847	3.2963156056838225	0.7317773436809103	-0.027126167717797675	-0.0017370388419070838	0.35548910496004604	0.0855964241477193	3.3788773146722733	0.6876345177641651	0.1812025655937883
1974	0	0.02263510115654795	0.007248944291833805	-0.029917124099643835	-0.0034803598960407504	3.173422194469445	0.7203605876290438	-0.017221533320904717	-0.0027696441994275963	0.3799861351791773	0.09229754685266049	3.3789070223249666	0.6877912903652976	0.17939948023530983
1976	0	0.02961089479576522	0.007127646343032203	-0.02256544272125464	-0.0035792579886317075	3.058390149243214	0.7078966663192208	-0.011678748975953576	-0.0029971243475255503	0.4252957684444999	0.09977520089120173	3.3855398032800164	0.6879542326074841	0.17761433676854405
1978	0	0.04451061989454208	0.0071253227955025466	-0.018395444621073224	-0.0036022341816341727	2.94582517595316	0.6946652137181938	0.0015480769556404808	-0.002779052223959592	0.47302821374708603	0.10868556049234979	3.393003111902057	0.6882650760518014	0.17584695665980332
1980	0	0.06566845787402982	0.0074184645393740355	-0.023646204585656583	-0.0037273100042636816	2.817591174961783	0.6804115083756991	0.009771742521990204	-0.0021238024027639742	0.541249628386923	0.11934250665720171	3.3909191334391533	0.6885928918968582	0.1740971631519284
1982	0	0.08252347328422521	0.008005166662671745	-0.010770370296384555	-0.003670519824856078	2.7028760328121986	0.665410015158449	0.01215964223323843	-0.0008872644607913622	0.6118283811856614	0.13222126077274374	3.409455340947524	0.6890739519398191	0.1723647812466103
1984	0	0.08586950550944372	0.008720055522797083	-0.01841891450619446	-0.0036062518900799242	2.567435066998117	0.6493181166812774	0.021015765938251118	0.000346545543574402	0.7133216265177119	0.14772666959020117	3.411111323353575	0.6896554162310535	0.17064963768688943
1986	0	0.08933823317062535	0.00935232859895885	-0.023145410620399872	-0.003604060769116282	2.447882321644209	0.6321291278255619	0.01697809481508735	0.0015581613459232139	0.8236390438722218	0.16651862209415583	3.424711914936858	0.6903145525953638	0.1689515609398269
1988	0	0.12633064860276452	0.010281971701582562	-0.024267826935761468	-0.0036402172612867503	2.3043835680896727	0.6140499262495279	-0.0006668203145208528	0.001989887298980997	0.9408845648764428	0.18828674457076008	3.434466666296657	0.6910967897857657	0.1672703811793505
1990	0	0.13320715150813742	0.0114694965355857	-0.013073710526274993	-0.0036495302286111645	2.1945642712597606	0.59511964180256	0.009162289564486016	0.001495334853757749	1.0557957464332761	0.2126168890371166	3.4429650355614765	0.6919921995818011	0.16560593026926954
1992	0	0.16780226218321448	0.01285911221580948	-0.018272405083240215	-0.0035998374982327665	2.0709465290176996	0.5755653739714733	0.0027732043026352416	0.0014602693138246717	1.1901451145246564	0.23884636944754606	3.4593341824095636	0.6930831947067299	0.16395804174645967
1994	0	0.19220096613513937	0.014621381048011946	-0.03588618976724143	-0.003743637156679825	1.9379090530907668	0.5550413754426362	0.012290568217721516	0.0019246166189441946	1.3393087031359674	0.2677762362264295	3.473217122359167	0.6942237698679866	0.16232655080421463
1996	0	0.23502990912002927	0.016640182400732537	-0.04780416878886353	-0.004124264808221097	1.805545846526682	0.5335100883837586	0.04238273834469303	0.003046486701824179	1.5330253562438352	0.29984402576581604	3.4886370757515124	0.6955596858046551	0.16071129427576378
1998	0	0.3027723157500907	0.019522638078172266	-0.03428058670343976	-0.004493957090691181	1.6875630477637045	0.5112832411878411	0.07734638165383048	0.006227740015919759	1.7457399568901177	0.33572451013628396	3.5092700969239745	0.6970839604723154	0.1591121106179541
2000	0	0.41636737272930036	0.023473204591416087	-0.030237829977754475	-0.004612496974424463	1.5509604730420057	0.48822573421013915	0.15942161684110004	0.012042033966837751	2.011234283361532	0.3754518355192481	3.536670524552249	0.698820498843899	0.15752883989509361
2002	0.5	0.5789995456908034	0.029243537638754282	-0.0207472929053847	-0.004710166497187962	1.4184382113620493	0.46378310366177045	0.28630548291094393	0.023147821400401135	2.348136874577141	0.41991383328644627	3.5688366346579588	0.7008525943523768	0.15596132376295627
2004	0.5	0.7853222487695423	0.037319218039965726	-0.010484137419912642	-0.004618556373728482	1.2802431147416293	0.43837498469199415	0.4826757179915244	0.041502733679426085	2.7513465013865863	0.468982838922762	3.5948987956489127	0.703227567589473	0.1544094054529455
2006	0.5	1.0615316724961799	0.048476109880894354	-0.012123553472187031	-0.00451731982851535	1.1457820651717872	0.41214748292318665	0.8066306743624966	0.07216653164245701	3.3038712621942468	0.5225801173233533	3.6387218303457995	0.7060415749434	0.15287292975641634
2008	0.5	1.402611333594323	0.06336915195387162	-0.014147142810449525	-0.004379063205531099	1.0029507922370442	0.38508560616620746	1.229786950175858	0.11862260033088969	3.9317704476485287	0.5794584198983358	3.689672413955356	0.7093410442518495	0.15135174300915244
